固定資産コード,固定資産補助コード,名称,減価償却資産区分,資産種類コード,資産種類名,勘定科目コード,勘定科目名,口座コード,口座名,部門コード,部門名,資産グループコード,資産グループ名,製造原価割合,販管費割合,営業外費割合,原価区分(一括償却),数量,数量の単位,所在地郵便番号,所在地住所,取得年月日,使用開始日,取得価額,購入先コード,購入先名,使用目的,少額資産の特例,保険種目,保険証券番号,保険金額,保守契約番号,保守契約定期点検,処分区分,処分年月日,売却先コード,売却先名,売却価額,処分見込価額,処分時帳簿価額,貸与先コード,貸与先名,貸与年月日,回収予定日,購入時証憑書番号,購入時課税区分,購入時消費税等,購入時消費税率,購入時元帳摘要,支払予定日,処分時証憑書番号,処分時課税区分,処分時消費税等,処分時消費税率,処分時元帳摘要,管理情報項目１,管理情報項目２,管理情報項目３,管理情報項目４,管理情報項目５,管理情報項目６,管理情報項目７,管理情報項目８,管理情報項目９,管理情報項目１０,管理情報項目１１,管理情報項目１２,管理情報項目１３,管理情報項目１４,管理情報項目１５,管理情報項目１６,管理情報項目１７,管理情報項目１８,管理情報項目１９,管理情報項目２０,備考１,備考２,構造・用途,細目,償却方法コード,償却方法名,耐用年数,耐用年数(月数),償却率,償却期間(分子),償却期間(分母),残存割合(生物用),残存簿価,自社償却方法コード,自社償却方法名,自社取得価額,自社償却基礎金額,自社調整前償却額,自社償却保証額,自社保証率,自社改定取得価額,自社改定償却率,自社耐用年数,自社耐用年数(月数),自社償却率,自社償却期間(分子),自社償却期間(分母),自社残存割合,自社償却可能限度額率,自社残存簿価,自社取得価額(翌期),自社耐用年数(翌期),自社償却率(翌期),自社残存割合(翌期),摘要表示方法,摘要表示内容,期首帳簿価額,前期繰越超過額,前期繰越不足額,償却の基礎金額,調整前償却額,償却保証額,保証率,改定取得価額,改定償却率,増加償却割増率,増加償却額,普通償却限度額,特別償却区分,特別償却限度額,償却限度額合計,減価償却実施額,減損損失額,当期償却額,償却実施額(製造原価),償却実施額(販管費),償却実施額(営業外費),償却累計額,期末帳簿価額,圧縮損計上,積立金計上,期首積立金,積立金取崩,期末積立金,認容償却不足,認容積立金取崩,次期繰越超過額,次期繰越不足額,償却資産申告区分コード,償却資産申告区分,申告先市町村コード,申告先市町村名,償却資産申告用資産種類,償却資産申告用耐用年数
47,0,ﾏｯｽﾙｽｰﾂ　2B056　　　農林083　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
48,0,ﾏｯｽﾙｽｰﾂ　2B057　　　農林084　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
49,0,ﾏｯｽﾙｽｰﾂ　2B058　　　農林085　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305066,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
50,0,ﾏｯｽﾙｽｰﾂ　2B059　　　農林086　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
51,0,ﾏｯｽﾙｽｰﾂ　2B060　　　農林087　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
52,0,ﾏｯｽﾙｽｰﾂ　2B061　　　農林088　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
53,0,ﾏｯｽﾙｽｰﾂ　2B062　　　農林089　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
54,0,ﾏｯｽﾙｽｰﾂ　2B063　　　農林090　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
55,0,ﾏｯｽﾙｽｰﾂ　2B064　　　農林091　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
56,0,ﾏｯｽﾙｽｰﾂ　2B065　　　農林092　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
57,0,ﾏｯｽﾙｽｰﾂ　2B066　　　農林093　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
58,0,ﾏｯｽﾙｽｰﾂ　2B067　　　農林094　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
59,0,ﾏｯｽﾙｽｰﾂ　2B068　　　農林095　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
60,0,ﾏｯｽﾙｽｰﾂ　2B069　　　農林096　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
61,0,ﾏｯｽﾙｽｰﾂ　2B070　　　農林097　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
62,0,ﾏｯｽﾙｽｰﾂ　2B071　　　農林098　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
63,0,ﾏｯｽﾙｽｰﾂ　2B072　　　農林099　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
64,0,ﾏｯｽﾙｽｰﾂ　2B073　　　農林100　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
65,0,ﾏｯｽﾙｽｰﾂ　2B074　　　農林101　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
66,0,ﾏｯｽﾙｽｰﾂ　2B075　　　農林102　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
67,0,ﾏｯｽﾙｽｰﾂ　3B012　　　農林003　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
68,0,ﾏｯｽﾙｽｰﾂ　3B013　　　農林004　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
69,0,ﾏｯｽﾙｽｰﾂ　3B014　　　農林005　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
70,0,ﾏｯｽﾙｽｰﾂ　3B015　　　農林006　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
71,0,ﾏｯｽﾙｽｰﾂ　3B016　　　農林007　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
72,0,ﾏｯｽﾙｽｰﾂ　3B017　　　農林008　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
73,0,ﾏｯｽﾙｽｰﾂ　3B018　　　農林009　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
74,0,ﾏｯｽﾙｽｰﾂ　3B019　　　農林010　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
75,0,ﾏｯｽﾙｽｰﾂ　3B020　　　農林011　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
76,0,ﾏｯｽﾙｽｰﾂ　3B021　　　農林012　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
77,0,ﾏｯｽﾙｽｰﾂ　3B022　　　農林013　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
78,0,ﾏｯｽﾙｽｰﾂ　3B023　　　農林014　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
79,0,ﾏｯｽﾙｽｰﾂ　3B024　　　農林015　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
80,0,ﾏｯｽﾙｽｰﾂ　3B025　　　農林016　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
81,0,ﾏｯｽﾙｽｰﾂ　3B026　　　農林017　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
82,0,ﾏｯｽﾙｽｰﾂ　3B027　　　農林018　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
83,0,ﾏｯｽﾙｽｰﾂ　3B028　　　農林019　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
84,0,ﾏｯｽﾙｽｰﾂ　3B029　　　農林020　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
85,0,ﾏｯｽﾙｽｰﾂ　3B030　　　農林021　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
86,0,ﾏｯｽﾙｽｰﾂ　3B031　　　農林022　　　　　　,減価償却資産,18,器具及び備品,1216,工具、器具及び備品,,,,,1,工具器具備品,0,100,0,,1,,,,2015/3/30,2015/3/30,457600,,,,不適用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,200%定率法,10,,0.2,12,12,,1,,,,,,,,,,,,,,,,,,,,,,当期のみ,,56622,,,56622,11324,29981,0.06552,75495,0.25,,,18873,,,18873,18873,0,18873,0,18873,0,419851,37749,305067,,,,,0,0,0,0,1,申告対象,7212,南相馬市,工具、器具及び備品,10
